"id"	"team_id"	"case_id"	"user_id"	"team_role"	"permission_level"	"is_active"	"status"	"is_deleted"	"create_time"	"update_time"	"create_user_id"	"update_user_id"
"3"	"2"	"2"	"3"	"负责人"	"ADMIN"	"1"	"ACTIVE"	"0"	"8/1/2026 08:42:10"	"8/1/2026 08:42:10"	"1"	
"4"	"2"	"2"	"5"	"成员"	"EDIT"	"1"	"ACTIVE"	"0"	"8/1/2026 08:42:10"	"8/1/2026 08:42:10"	"1"	
"5"	"3"	"3"	"2"	"负责人"	"ADMIN"	"1"	"ACTIVE"	"0"	"8/1/2026 08:42:10"	"8/1/2026 08:42:10"	"1"	
"10"	"1"	"1"	"1"	"LEADER"	"EDIT"	"1"	"ACTIVE"	"0"	"15/1/2026 11:17:31"	"15/1/2026 11:17:31"		
"11"	"6"	"1"	"12"	"负责人"	"ADMIN"	"1"	"ACTIVE"	"0"	"15/1/2026 15:45:08"	"16/1/2026 09:03:37"		
"15"	"6"	"1"	"4"	"LEADER"	"ADMIN"	"1"	"ACTIVE"	"0"	"15/1/2026 15:45:08"	"15/1/2026 15:45:08"		
"17"	"7"	"5"	"4"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"18"	"7"	"5"	"5"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"19"	"7"	"5"	"9"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"20"	"7"	"5"	"12"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"21"	"7"	"5"	"11"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"22"	"7"	"5"	"16"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"23"	"7"	"5"	"17"	"MEMBER"	"ADMIN"	"1"	"ACTIVE"	"0"	"16/1/2026 09:20:05"	"16/1/2026 09:20:05"		
"24"	"7"	"5"	"1"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:21:47"	"16/1/2026 09:21:47"		
"25"	"7"	"5"	"6"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:21:47"	"16/1/2026 09:21:47"		
"26"	"7"	"5"	"7"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:21:47"	"16/1/2026 09:21:47"		
"27"	"7"	"5"	"8"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:21:47"	"16/1/2026 09:21:47"		
"28"	"7"	"5"	"10"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:22:10"	"16/1/2026 09:22:10"		
"29"	"7"	"5"	"13"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:22:10"	"16/1/2026 09:22:10"		
"30"	"7"	"5"	"14"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:22:10"	"16/1/2026 09:22:10"		
"31"	"7"	"5"	"15"	"MEMBER"	"VIEW"	"1"	"ACTIVE"	"0"	"16/1/2026 09:22:10"	"16/1/2026 09:22:10"		
